,chain_id,cuisine_ids,product_group_ids,products,cuisines,products_len,cuisines_len,cuisines_predicted
133227,56026,"[1, 2, 3, 5]","[1, 2, 18, 26]","[1, 2, 18, 26]","[1, 2, 3, 5]",4,4,[1 2 3 5]
137200,66538,"[1, 2, 4, 5]","[1, 2, 18, 26]","[1, 2, 18, 26]","[1, 2, 4, 5]",4,4,[1 2 3 5]
137475,142650,,"[5, 20, 25]","[5, 20, 25]",[],3,0,[1 4]
137524,121570,,"[1, 20, 25]","[1, 20, 25]",[],3,0,[1]
137616,121650,,"[21, 27, 43]","[21, 27, 43]",[],3,0,[1 3]
138243,72454,[2],"[1, 2, 20]","[1, 2, 20]",[2],3,1,[ 1  2 10]
138428,104974,[4],"[5, 26]","[5, 26]",[4],2,1,[1 4 5]
140001,120790,,"[1, 2, 18, 51]","[1, 2, 18, 51]",[],4,0,[1 2 4]
140715,61098,[5],"[6, 26]","[6, 26]",[5],2,1,[5]
141227,154010,,"[1, 2, 23, 42]","[1, 2, 23, 42]",[],4,0,[1 2]
143014,169038,,[1],[1],[],1,0,[1]
143091,100094,[1],"[1, 2, 6]","[1, 2, 6]",[1],3,1,[1 2 5]
143457,155482,,"[1, 5, 27, 52]","[1, 5, 27, 52]",[],4,0,[1 4]
143984,161670,,"[6, 26]","[6, 26]",[],2,0,[5]
145141,132578,,"[1, 2, 24, 27]","[1, 2, 24, 27]",[],4,0,[1 2 5]
145558,114478,,"[1, 2, 6, 19]","[1, 2, 6, 19]",[],4,0,[1 2 5]
146047,133026,,"[1, 2, 3]","[1, 2, 3]",[],3,0,[1 2 3]
146960,178518,,"[34, 43]","[34, 43]",[],2,0,[1 3]
146976,154170,,"[2, 26]","[2, 26]",[],2,0,[1 2]
147327,112198,,"[1, 2]","[1, 2]",[],2,0,[1 2]
148588,130346,,"[1, 2, 18, 23]","[1, 2, 18, 23]",[],4,0,[1 2]
152790,166250,,"[3, 6]","[3, 6]",[],2,0,[1 3 4 5]
153963,145430,,"[33, 48]","[33, 48]",[],2,0,[1 5]
154213,137998,,[2],[2],[],1,0,[2]
154219,120430,,"[1, 2, 3]","[1, 2, 3]",[],3,0,[1 2 3]
155917,126698,,"[1, 2, 6, 18]","[1, 2, 6, 18]",[],4,0,[1 2 5]
156683,62958,[1],"[1, 29, 32]","[1, 29, 32]",[1],3,1,[1 3 5]
156967,175022,,"[25, 43]","[25, 43]",[],2,0,[1 3 4 6]
157056,41074,"[1, 2]","[1, 2, 40]","[1, 2, 40]","[1, 2]",3,2,[1 2]
157450,106642,[4],"[5, 21, 30]","[5, 21, 30]",[4],3,1,[4]
157527,163334,,"[2, 24, 27, 40]","[2, 24, 27, 40]",[],4,0,[1 2]
159960,69294,"[1, 2]","[1, 2, 18, 20, 41]","[1, 2, 18, 20, 41]","[1, 2]",5,2,[2]
160266,134474,,[1],[1],[],1,0,[1]
161341,127326,,[39],[39],[],1,0,[2 6]
161501,107166,[1],"[3, 29]","[3, 29]",[1],2,1,[1 3 4]
162094,34722,"[1, 2, 3, 4]","[2, 5, 22, 44, 51]","[2, 5, 22, 44, 51]","[1, 2, 3, 4]",5,4,[1 3 4]
162484,87242,[2],"[1, 2, 40]","[1, 2, 40]",[2],3,1,[1 2]
162865,178622,,[6],[6],[],1,0,[1 5]
162894,110962,,"[1, 2, 5, 18, 51]","[1, 2, 5, 18, 51]",[],5,0,[1 3]
163205,179222,,[43],[43],[],1,0,[3 4]
163210,150858,,"[5, 19]","[5, 19]",[],2,0,[1 4]
163509,120886,,"[2, 40]","[2, 40]",[],2,0,[2]
163571,174178,,[37],[37],[],1,0,[4]
164437,11754,"[1, 5]","[1, 26, 51]","[1, 26, 51]","[1, 5]",3,2,[1 5]
164807,141562,,"[2, 18, 40]","[2, 18, 40]",[],3,0,[2]
165873,61234,"[1, 2]","[1, 2, 23, 40]","[1, 2, 23, 40]","[1, 2]",4,2,[1 2]
166296,141526,,"[3, 5, 25, 33]","[3, 5, 25, 33]",[],4,0,[1 3 4]
166410,107358,[5],"[1, 26, 34, 35]","[1, 26, 34, 35]",[5],4,1,[3 5]
166539,172942,,"[1, 2, 5, 6]","[1, 2, 5, 6]",[],4,0,[1 2 4 5]
166837,7834,"[1, 4, 5]","[1, 3, 5, 19, 27]","[1, 3, 5, 19, 27]","[1, 4, 5]",5,3,[4 5]
168071,83870,"[1, 2]","[1, 2, 24, 41]","[1, 2, 24, 41]","[1, 2]",4,2,[1]
168216,157170,,"[6, 26]","[6, 26]",[],2,0,[5]
168349,148610,,"[21, 25, 29, 37]","[21, 25, 29, 37]",[],4,0,[1 3 4]
168381,52942,[4],[5],[5],[4],1,1,[1 4]
168458,170274,,[37],[37],[],1,0,[4]
168933,80566,"[1, 5]","[1, 6, 26, 29]","[1, 6, 26, 29]","[1, 5]",4,2,[1 5]
168962,168662,,"[1, 23, 34]","[1, 23, 34]",[],3,0,[1]
169159,10118,"[1, 5]","[1, 26]","[1, 26]","[1, 5]",2,2,[1 5]
169257,54642,[2],"[2, 18, 40]","[2, 18, 40]",[2],3,1,[2]
169844,8222,"[1, 3, 4]","[25, 43]","[25, 43]","[1, 3, 4]",2,3,[1 3 4 6]
170178,168598,,[1],[1],[],1,0,[1]
170513,168526,,"[26, 29]","[26, 29]",[],2,0,[1 5]
171190,170174,,[40],[40],[],1,0,[2]
171394,122766,,"[6, 26]","[6, 26]",[],2,0,[5]
171976,111166,,[24],[24],[],1,0,[1 3]
172412,148282,,"[1, 6, 23, 34]","[1, 6, 23, 34]",[],4,0,[1]
172461,122466,,"[1, 42]","[1, 42]",[],2,0,[1]
172648,150934,,[25],[25],[],1,0,[1 2 4 5]
172690,122698,,"[5, 26, 37]","[5, 26, 37]",[],3,0,[1 3 4]
172803,118062,,"[6, 26]","[6, 26]",[],2,0,[5]
172939,173038,,"[2, 40]","[2, 40]",[],2,0,[2]
173098,122330,,"[6, 26]","[6, 26]",[],2,0,[5]
173503,172018,,"[1, 5, 25]","[1, 5, 25]",[],3,0,[1 3 4]
173580,112186,,"[1, 2, 18]","[1, 2, 18]",[],3,0,[1 2]
174259,147038,,"[1, 6, 26]","[1, 6, 26]",[],3,0,[1]
175323,162118,,"[1, 23, 42]","[1, 23, 42]",[],3,0,[1]
176730,118562,,"[6, 26]","[6, 26]",[],2,0,[5]
176884,136802,,"[25, 27, 34, 42]","[25, 27, 34, 42]",[],4,0,[1 3]
176935,30874,"[1, 2, 5]","[1, 6, 24, 25]","[1, 6, 24, 25]","[1, 2, 5]",4,3,[1 2 5]
177012,166594,,[19],[19],[],1,0,[1 4]
177765,157366,,"[6, 26]","[6, 26]",[],2,0,[5]
177900,171962,,[20],[20],[],1,0,[1 2]
177956,122326,,"[6, 26]","[6, 26]",[],2,0,[5]
178935,129298,,"[6, 26]","[6, 26]",[],2,0,[5]
179435,122630,,"[6, 26]","[6, 26]",[],2,0,[5]
180768,121110,,"[2, 40]","[2, 40]",[],2,0,[2]
181221,121934,,[43],[43],[],1,0,[3 4]
181228,44446,"[3, 4]","[1, 2, 5, 43]","[1, 2, 5, 43]","[3, 4]",4,2,[1 2 4]
181586,113062,,"[2, 18]","[2, 18]",[],2,0,[2]
181612,82226,[2],"[1, 2, 26, 40]","[1, 2, 26, 40]",[2],4,1,[1 2]
181959,175778,,[2],[2],[],1,0,[2]
182860,113942,,"[19, 28]","[19, 28]",[],2,0,[1 4]
182899,174390,,"[2, 18, 40]","[2, 18, 40]",[],3,0,[2]
183010,139482,,"[6, 26]","[6, 26]",[],2,0,[5]
183285,109166,[5],"[6, 26]","[6, 26]",[5],2,1,[5]
183716,125494,,"[29, 34, 51]","[29, 34, 51]",[],3,0,[1 5]
183729,39442,"[1, 2]","[1, 2, 24, 25]","[1, 2, 24, 25]","[1, 2]",4,2,[1 2]
184262,105278,"[1, 2]","[1, 2, 40, 42]","[1, 2, 40, 42]","[1, 2]",4,2,[1 2]
184301,172450,,"[24, 30, 34]","[24, 30, 34]",[],3,0,[1 3 5]
184736,127590,,"[27, 30, 34, 51]","[27, 30, 34, 51]",[],4,0,[1 3]
184820,90786,[2],"[2, 27, 41]","[2, 27, 41]",[2],3,1,[2]
184916,174194,,"[1, 25, 34, 43]","[1, 25, 34, 43]",[],4,0,[1 3]
185600,154070,,[25],[25],[],1,0,[1 2 4 5]
185603,19242,"[3, 4]","[3, 5, 37]","[3, 5, 37]","[3, 4]",3,2,[3 4]
185769,118222,,"[6, 26]","[6, 26]",[],2,0,[5]
186658,169678,,"[6, 19, 28, 35]","[6, 19, 28, 35]",[],4,0,[4 5]
186690,113506,,"[6, 26]","[6, 26]",[],2,0,[5]
187634,124226,,"[6, 26]","[6, 26]",[],2,0,[5]
199917,161326,,[1],[1],[],1,0,[1]
199942,124510,,"[6, 26]","[6, 26]",[],2,0,[5]
200742,124518,,"[6, 26]","[6, 26]",[],2,0,[5]
201715,118142,,"[6, 26]","[6, 26]",[],2,0,[5]
204229,144474,,"[1, 2, 6, 34]","[1, 2, 6, 34]",[],4,0,[1 2 5]
204701,154498,,"[2, 24, 40]","[2, 24, 40]",[],3,0,[2 4]
204710,122854,,"[6, 26]","[6, 26]",[],2,0,[5]
205939,159174,,"[26, 27, 34, 52]","[26, 27, 34, 52]",[],4,0,[1 3 5]
207663,163522,,"[1, 2]","[1, 2]",[],2,0,[1 2]
207697,132946,,"[2, 23, 26]","[2, 23, 26]",[],3,0,[1 2]
208240,64426,[5],"[6, 26]","[6, 26]",[5],2,1,[5]
209318,151994,,"[25, 30]","[25, 30]",[],2,0,[1 3 4]
209837,106522,[1],"[1, 42]","[1, 42]",[1],2,1,[1]
211305,113578,,"[6, 26]","[6, 26]",[],2,0,[5]
212881,75910,[1],[1],[1],[1],1,1,[1]
213178,121250,,"[33, 34, 43, 47]","[33, 34, 43, 47]",[],4,0,[1 2 3 6]
213308,122318,,"[6, 26]","[6, 26]",[],2,0,[5]
214572,157206,,"[6, 26]","[6, 26]",[],2,0,[5]
215655,172730,,[29],[29],[],1,0,[1 5]
215745,129642,,"[1, 23]","[1, 23]",[],2,0,[1]
215843,124538,,"[6, 26]","[6, 26]",[],2,0,[5]
218453,119610,,"[6, 26]","[6, 26]",[],2,0,[5]
218962,70586,[2],"[1, 2, 36]","[1, 2, 36]",[2],3,1,[2]
219023,124566,,"[6, 26]","[6, 26]",[],2,0,[5]
220620,52114,[2],"[1, 2, 18]","[1, 2, 18]",[2],3,1,[1 2]
223903,163722,,[3],[3],[],1,0,[1 3 4]
224611,136742,,"[6, 26]","[6, 26]",[],2,0,[5]
225881,150106,,"[24, 30]","[24, 30]",[],2,0,[1 3 5]
225911,157050,,"[33, 43]","[33, 43]",[],2,0,[3]
226018,120978,,"[33, 34, 48]","[33, 34, 48]",[],3,0,[1 5]
227596,117706,,"[6, 26]","[6, 26]",[],2,0,[5]
228384,125394,,"[6, 26]","[6, 26]",[],2,0,[5]
228474,166714,,"[23, 29, 34]","[23, 29, 34]",[],3,0,[1 5]
228523,175930,,[43],[43],[],1,0,[3 4]
228547,175030,,[27],[27],[],1,0,[1]
228557,168414,,"[19, 26]","[19, 26]",[],2,0,[1 6]
228600,127978,,"[1, 6, 18, 26]","[1, 6, 18, 26]",[],4,0,[1 2]
228841,152914,,[19],[19],[],1,0,[1 4]
228931,146002,,[18],[18],[],1,0,[2]
229688,145074,,"[3, 30]","[3, 30]",[],2,0,[1 3 4]
229718,157138,,[25],[25],[],1,0,[1 2 4 5]
230098,95438,"[1, 4]",[1],[1],"[1, 4]",1,2,[1]
230122,123950,,"[1, 2]","[1, 2]",[],2,0,[1 2]
230349,8950,[1],"[1, 23, 42, 51]","[1, 23, 42, 51]",[1],4,1,[1 5]
230734,160454,,[39],[39],[],1,0,[2 6]
231076,104986,[3],"[3, 25, 33, 43]","[3, 25, 33, 43]",[3],4,1,[3]
231280,154590,,"[25, 43]","[25, 43]",[],2,0,[1 3 4 6]
231991,160478,,[6],[6],[],1,0,[1 5]
232512,59534,[2],"[18, 24, 25]","[18, 24, 25]",[2],3,1,[2]
233421,116058,,"[1, 2, 6, 18]","[1, 2, 6, 18]",[],4,0,[1 2 5]
233970,136994,,[34],[34],[],1,0,[1 2 3 4 5]
233999,137418,,,[],[],0,0,[1 2 5]
234901,124738,,"[6, 26]","[6, 26]",[],2,0,[5]
237619,108642,[5],"[6, 26]","[6, 26]",[5],2,1,[5]
237851,163186,,"[5, 19]","[5, 19]",[],2,0,[1 4]
237977,114878,,"[6, 26]","[6, 26]",[],2,0,[5]
254085,117102,,"[6, 26]","[6, 26]",[],2,0,[5]
254739,166586,,"[21, 37]","[21, 37]",[],2,0,[3 4]
256127,168706,,[44],[44],[],1,0,[1 2 4]
256274,40454,"[4, 5]","[6, 25]","[6, 25]","[4, 5]",2,2,[1 5]
256415,48146,[1],"[1, 23, 42]","[1, 23, 42]",[1],3,1,[1]
256451,119590,,"[6, 26]","[6, 26]",[],2,0,[5]
258478,131210,,"[19, 26, 34, 51]","[19, 26, 34, 51]",[],4,0,[1 3 4 6]
258482,117814,,"[25, 33]","[25, 33]",[],2,0,[1 2 5]
259075,133522,,,[],[],0,0,[1 2 5]
263252,129286,,"[6, 26]","[6, 26]",[],2,0,[5]
266911,112778,,"[5, 26, 34]","[5, 26, 34]",[],3,0,[1 3 4 5]
268172,125490,,"[6, 26]","[6, 26]",[],2,0,[5]
268934,97818,[3],"[30, 33, 34, 43]","[30, 33, 34, 43]",[3],4,1,[3]
269043,16934,[4],"[5, 18, 25, 27]","[5, 18, 25, 27]",[4],4,1,[4]
269303,45490,"[1, 2, 5]","[1, 2, 18, 26]","[1, 2, 18, 26]","[1, 2, 5]",4,3,[1 2 3 5]
